date,region,sst
1981-09-01,Bay of Fundy,12.742
1981-09-01,Scotian Shelf,17.489
1981-09-01,Gulf of St. Lawrence,15.277
1982-07-15,Bay of Fundy,11.999
1982-07-15,Scotian Shelf,13.745
1982-07-15,Gulf of St. Lawrence,13.812
1983-07-15,Bay of Fundy,11.204
1983-07-15,Scotian Shelf,15.094
1983-07-15,Gulf of St. Lawrence,13.924
1984-07-15,Bay of Fundy,12.533
1984-07-15,Scotian Shelf,14.984
1984-07-15,Gulf of St. Lawrence,14.861
1985-07-15,Bay of Fundy,12.716
1985-07-15,Scotian Shelf,14.663
1985-07-15,Gulf of St. Lawrence,14.763
1986-07-15,Bay of Fundy,11.683
1986-07-15,Scotian Shelf,12.564
1986-07-15,Gulf of St. Lawrence,13.532
1987-07-15,Bay of Fundy,12.532
1987-07-15,Scotian Shelf,15.268
1987-07-15,Gulf of St. Lawrence,15.299
1988-07-15,Bay of Fundy,12.938
1988-07-15,Scotian Shelf,13.733
1988-07-15,Gulf of St. Lawrence,13.312
1989-07-15,Bay of Fundy,12.925
1989-07-15,Scotian Shelf,14.272
1989-07-15,Gulf of St. Lawrence,14.484
1990-07-15,Bay of Fundy,11.962
1990-07-15,Scotian Shelf,13.408
1990-07-15,Gulf of St. Lawrence,12.646
1991-07-15,Bay of Fundy,13.067
1991-07-15,Scotian Shelf,13.988
1991-07-15,Gulf of St. Lawrence,12.635
1992-07-15,Bay of Fundy,11.699
1992-07-15,Scotian Shelf,12.889
1992-07-15,Gulf of St. Lawrence,12.848
1993-07-15,Bay of Fundy,12.684
1993-07-15,Scotian Shelf,13.436
1993-07-15,Gulf of St. Lawrence,12.403
1994-07-15,Bay of Fundy,13.821
1994-07-15,Scotian Shelf,16.111
1994-07-15,Gulf of St. Lawrence,14.334
1995-07-15,Bay of Fundy,12.623
1995-07-15,Scotian Shelf,14.73
1995-07-15,Gulf of St. Lawrence,15.038
1996-07-15,Bay of Fundy,11.426
1996-07-15,Scotian Shelf,13.956
1996-07-15,Gulf of St. Lawrence,13.895
1997-07-15,Bay of Fundy,12.844
1997-07-15,Scotian Shelf,13.643
1997-07-15,Gulf of St. Lawrence,13.527
1998-07-15,Bay of Fundy,13.293
1998-07-15,Scotian Shelf,14.128
1998-07-15,Gulf of St. Lawrence,14.852
1999-07-15,Bay of Fundy,12.881
1999-07-15,Scotian Shelf,15.33
1999-07-15,Gulf of St. Lawrence,15.501
2000-07-15,Bay of Fundy,13.215
2000-07-15,Scotian Shelf,14.911
2000-07-15,Gulf of St. Lawrence,14.408
2001-07-15,Bay of Fundy,13.196
2001-07-15,Scotian Shelf,15.229
2001-07-15,Gulf of St. Lawrence,14.541
2002-07-15,Bay of Fundy,12.74
2002-07-15,Scotian Shelf,14.101
2002-07-15,Gulf of St. Lawrence,13.78
2003-07-15,Bay of Fundy,12.812
2003-07-15,Scotian Shelf,15.52
2003-07-15,Gulf of St. Lawrence,14.435
2004-07-15,Bay of Fundy,12.168
2004-07-15,Scotian Shelf,14.36
2004-07-15,Gulf of St. Lawrence,13.327
2005-07-15,Bay of Fundy,11.768
2005-07-15,Scotian Shelf,14.841
2005-07-15,Gulf of St. Lawrence,14.115
2006-07-15,Bay of Fundy,13.058
2006-07-15,Scotian Shelf,14.672
2006-07-15,Gulf of St. Lawrence,15.449
2007-07-15,Bay of Fundy,11.706
2007-07-15,Scotian Shelf,14.011
2007-07-15,Gulf of St. Lawrence,14.873
2008-07-15,Bay of Fundy,14.242
2008-07-15,Scotian Shelf,16.336
2008-07-15,Gulf of St. Lawrence,15.684
2009-07-15,Bay of Fundy,12.568
2009-07-15,Scotian Shelf,15.679
2009-07-15,Gulf of St. Lawrence,14.424
2010-07-15,Bay of Fundy,15.464
2010-07-15,Scotian Shelf,17.196
2010-07-15,Gulf of St. Lawrence,15.25
2011-07-15,Bay of Fundy,12.358
2011-07-15,Scotian Shelf,13.854
2011-07-15,Gulf of St. Lawrence,14.171
2012-07-15,Bay of Fundy,15.255
2012-07-15,Scotian Shelf,16.822
2012-07-15,Gulf of St. Lawrence,15.863
2013-07-15,Bay of Fundy,14.897
2013-07-15,Scotian Shelf,17.879
2013-07-15,Gulf of St. Lawrence,16.919
2014-07-15,Bay of Fundy,13.482
2014-07-15,Scotian Shelf,15.704
2014-07-15,Gulf of St. Lawrence,15.038
2015-07-15,Bay of Fundy,12.734
2015-07-15,Scotian Shelf,14.803
2015-07-15,Gulf of St. Lawrence,14.662
2016-07-15,Bay of Fundy,13.746
2016-07-15,Scotian Shelf,15.599
2016-07-15,Gulf of St. Lawrence,14.91
2017-07-15,Bay of Fundy,13.072
2017-07-15,Scotian Shelf,15.652
2017-07-15,Gulf of St. Lawrence,15.699
2018-07-15,Bay of Fundy,14.348
2018-07-15,Scotian Shelf,14.565
2018-07-15,Gulf of St. Lawrence,14.791
2019-07-15,Bay of Fundy,12.66
2019-07-15,Scotian Shelf,14.118
2019-07-15,Gulf of St. Lawrence,14.072
2020-07-15,Bay of Fundy,14.193
2020-07-15,Scotian Shelf,16.167
2020-07-15,Gulf of St. Lawrence,15.174
2021-07-15,Bay of Fundy,15.341
2021-07-15,Scotian Shelf,15.829
2021-07-15,Gulf of St. Lawrence,14.799
2022-07-15,Bay of Fundy,13.573
2022-07-15,Scotian Shelf,16.418
2022-07-15,Gulf of St. Lawrence,14.317
2023-07-15,Bay of Fundy,13.823
2023-07-15,Scotian Shelf,16.456
2023-07-15,Gulf of St. Lawrence,15.225
2024-07-15,Bay of Fundy,13.641
2024-07-15,Scotian Shelf,15.764
2024-07-15,Gulf of St. Lawrence,17.876
2025-07-15,Bay of Fundy,13.725
2025-07-15,Scotian Shelf,16.257
2025-07-15,Gulf of St. Lawrence,16.778
2026-01-15,Bay of Fundy,3.674
2026-01-15,Scotian Shelf,3.877
2026-01-15,Gulf of St. Lawrence,0.037
1981-09-15,Bay of Fundy,13.977
1981-09-15,Scotian Shelf,16.606
1981-09-15,Gulf of St. Lawrence,14.773
1981-10-15,Bay of Fundy,11.872
1981-10-15,Scotian Shelf,12.561
1981-10-15,Gulf of St. Lawrence,8.387
1981-11-15,Bay of Fundy,9.449
1981-11-15,Scotian Shelf,9.515
